date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2014-02-15,3,-5,0.0,8.0,1,88,06:55 PM,07:06 AM,07:05 AM,05:59 PM,-1,-4,1,-4,31,55,91,9.6,1009,3,7,278,16,North Carolina,1
2014-02-07,5,2,0.0,6.0,1,51,12:20 PM,01:18 AM,07:05 AM,06:03 PM,0,-1,3,-1,23,72,80,0.7,1026,5,10,70,18,Texas,1
2014-02-06,12,3,0.0,11.0,2,44,11:02 AM,12:07 AM,06:47 AM,05:26 PM,-1,4,7,4,32,37,61,0.4,1015,12,10,254,19,California,1
2014-02-06,12,3,0.0,11.0,2,44,11:02 AM,12:07 AM,06:47 AM,05:26 PM,-1,4,7,4,32,37,61,0.4,1015,12,10,254,19,California,1
2014-02-06,-6,-11,0.0,10.0,1,44,11:11 AM,12:33 AM,07:20 AM,05:39 PM,-11,-15,-9,-15,22,46,84,0.0,1028,-6,9,278,13,Northern California,1
2014-02-05,0,-9,29.5,1.0,1,36,10:29 AM,No moonset,07:18 AM,05:35 PM,-5,-9,-4,-9,30,87,95,29.6,1013,0,5,214,16,Pennsylvania,1
2014-02-06,-5,-12,0.0,10.0,2,44,11:07 AM,12:30 AM,07:17 AM,05:36 PM,-11,-14,-9,-14,20,38,80,0.0,1027,-5,10,288,12,Pennsylvania,1
2014-02-07,-5,-15,0.0,10.0,2,51,11:47 AM,01:30 AM,07:16 AM,05:37 PM,-13,-18,-11,-18,23,17,76,0.0,1028,-5,10,266,14,Pennsylvania,1
2014-02-08,-7,-16,0.0,3.0,1,59,12:30 PM,02:25 AM,07:15 AM,05:38 PM,-14,-16,-12,-16,11,48,76,0.3,1027,-7,10,275,7,Pennsylvania,1
2014-02-09,-5,-15,2.2,1.0,1,66,01:18 PM,03:17 AM,07:13 AM,05:40 PM,-10,-14,-9,-14,17,80,91,3.3,1020,-5,5,230,9,Pennsylvania,1
2014-02-05,1,-3,33.9,1.0,1,36,10:13 AM,No moonset,07:02 AM,05:19 PM,-1,-5,0,-5,23,85,94,34.4,1011,1,5,197,15,New York,1
2014-02-06,-1,-7,0.0,10.0,2,44,10:51 AM,12:14 AM,07:01 AM,05:20 PM,-7,-10,-5,-10,20,12,80,0.0,1024,-1,10,308,13,New York,1
2014-02-07,-1,-9,0.0,10.0,2,51,11:31 AM,01:13 AM,07:00 AM,05:21 PM,-7,-11,-6,-11,22,14,75,0.0,1026,-1,10,274,14,New York,1
2014-02-08,-2,-11,0.0,5.0,1,59,12:14 PM,02:09 AM,06:59 AM,05:23 PM,-9,-12,-7,-12,16,49,72,0.0,1025,-2,10,286,10,New York,1
2014-02-09,-2,-10,1.2,8.0,1,66,01:01 PM,03:00 AM,06:57 AM,05:24 PM,-8,-10,-6,-10,14,48,76,2.5,1019,-2,9,274,9,New York,1
2014-02-10,-3,-10,0.0,11.0,2,74,01:51 PM,03:48 AM,06:56 AM,05:25 PM,-9,-13,-7,-13,24,17,77,0.0,1021,-3,10,305,16,New York,1
2014-02-11,-5,-14,0.0,11.0,2,81,02:44 PM,04:30 AM,06:55 AM,05:26 PM,-11,-17,-10,-17,20,5,74,0.0,1029,-5,10,303,15,New York,1
2014-02-12,-5,-14,0.0,11.0,2,89,03:39 PM,05:09 AM,06:54 AM,05:28 PM,-11,-15,-9,-15,15,25,75,0.0,1032,-5,10,51,11,New York,1
2014-02-13,1,-5,44.5,1.0,1,97,04:35 PM,05:45 AM,06:52 AM,05:29 PM,-1,-7,0,-7,46,99,95,45.1,1004,1,6,46,28,New York,1
2014-02-14,3,-3,8.9,11.0,1,100,05:32 PM,06:17 AM,06:51 AM,05:30 PM,-2,-6,0,-6,40,32,85,9.2,998,3,8,276,25,New York,1
2014-02-15,1,-4,4.2,1.0,1,88,06:29 PM,06:47 AM,06:50 AM,05:31 PM,-3,-6,-1,-6,30,68,86,5.4,1005,1,7,195,19,New York,1
2014-02-16,-2,-9,0.0,11.0,1,81,07:28 PM,07:17 AM,06:49 AM,05:32 PM,-9,-12,-5,-12,30,37,76,0.0,1014,-2,10,294,20,New York,1
