date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-11-28,12,2,0.0,8.0,2,78,01:59 PM,02:48 AM,06:39 AM,04:40 PM,0,4,6,4,20,26,69,0.7,1011,12,10,304,11,California
2012-04-05,13,5,0.0,13.0,3,98,06:28 PM,05:28 AM,06:33 AM,07:26 PM,2,7,9,7,27,8,63,0.0,1011,13,10,319,13,Newark
2014-02-24,10,4,0.0,11.0,2,20,02:32 AM,12:56 PM,06:41 AM,05:54 PM,3,4,7,4,25,26,72,0.0,1017,10,10,131,15,Virginia
2014-09-10,26,22,0.0,12.0,5,86,08:21 PM,08:25 AM,06:42 AM,07:19 PM,20,26,26,24,24,36,79,0.8,1017,26,10,57,15,Virginia
2009-03-23,17,5,0.0,12.0,4,10,05:33 AM,04:48 PM,07:17 AM,07:32 PM,6,9,10,9,17,11,81,0.0,1026,17,9,182,8,Southern%20California
2013-09-18,20,5,0.0,13.0,4,94,06:37 PM,05:57 AM,06:56 AM,07:15 PM,4,12,12,12,14,0,71,0.0,1024,20,10,171,7,Pennsylvania
2009-01-25,-8,-12,0.0,6.0,1,0,07:13 AM,04:53 PM,07:31 AM,05:25 PM,-13,-16,-11,-16,16,62,80,1.2,1028,-8,8,275,10,Northern%20Illinois
2012-03-25,14,9,0.0,7.0,3,14,08:08 AM,10:33 PM,06:57 AM,07:20 PM,9,10,11,10,18,74,87,0.4,1009,14,8,48,11,Southeastern%20Michigan
2011-02-23,28,11,0.0,12.0,5,53,11:52 PM,10:31 AM,06:29 AM,06:15 PM,12,18,19,18,14,11,71,0.0,1014,28,8,110,4,Alberta
2008-10-06,26,10,0.0,11.0,4,42,01:39 PM,No moonset,07:04 AM,06:48 PM,11,17,17,17,13,41,74,0.0,1014,26,7,219,6,San%20Francisco%20Bay%20Area
2014-05-28,27,17,0.0,9.0,5,0,05:42 AM,08:25 PM,05:35 AM,08:27 PM,19,23,23,22,15,60,85,16.0,1013,27,7,158,7,Illinois
2009-05-11,14,4,0.0,6.0,2,83,11:15 PM,07:18 AM,06:02 AM,08:21 PM,7,8,9,8,13,56,87,2.4,1019,14,7,222,6,Northern%20Illinois
2012-12-23,23,10,0.0,11.0,5,67,02:16 PM,02:33 AM,06:32 AM,05:42 PM,10,15,16,15,22,11,72,0.0,1017,23,10,67,8,Island%20of%20Puerto%20Rico
2013-11-26,16,1,0.0,11.0,3,31,12:18 AM,12:50 PM,06:36 AM,05:15 PM,-2,4,6,4,31,4,55,0.0,1022,16,10,70,15,San%20Francisco%20Bay%20Area
2009-05-24,22,6,0.0,15.0,4,0,05:02 AM,09:53 PM,05:24 AM,08:50 PM,9,15,15,15,11,5,66,0.0,1018,22,10,264,5,Tacoma
