,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
128,Vandalism,2014,1/6/2014,1/6/2014,PacifiCorp,Utah,RFC,,,vandalism,14:37:00,14:38:00
129,Public Appeal due to Severe Weather - Cold,2014,1/6/2014,1/7/2014,ERCOT,Texas,TRE,,,"severe weather, cold",07:01:00,09:00:00
130,Physical Attack,2013,12/30/2013,12/30/2013,PacifiCorp,Salt Lake County Utah,WECC,,,"vandalism, physical",11:00:00,11:01:00
131,Physical Attack,2013,12/30/2013,1/1/2014,Arizona Public Service Co,North of Roosevelt lake Arizona,WECC,,,"vandalism, physical",11:00:00,08:00:00
132,Physical Attack,2013,12/27/2013,12/27/2013,Arizona Public Service Co,Gilabend Arizona,WECC,,,"vandalism, physical",09:43:00,12:43:00
133,Severe Weather - Ice/Snow,2013,12/23/2013,12/25/2013,Central Maine Power Co,Central Maine Maine,NPCC,Unknown,"52,500","severe weather, winter storm",15:20:00,11:32:00
134,Severe Weather - Ice/Snow,2013,12/22/2013,12/24/2013,Niagara Mohawk Power Corp.,Frontier/Genesee/Northern New York,NPCC,Unknown,"59,000","severe weather, winter storm",06:16:00,23:59:00
135,Severe Weather - Ice/Snow,2013,12/22/2013,12/28/2013,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,Unknown,"50,000","severe weather, winter storm",03:28:00,23:45:00
136,Severe Weather - Ice/Snow,2013,12/22/2013,12/25/2013,Detroit Edison Co,Michigan,RFC,350,"140,735","severe weather, winter storm",06:30:00,05:12:00
137,Fuel Supply Emergencies (Coal),2013,12/13/2013,12/27/2013,City of Garland,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",11:00:00,11:00:00
138,Fuel Supply Emergencies (Coal),2013,12/13/2013,12/27/2013,Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",11:00:00,11:00:00
139,Suspected Physical Attack,2013,12/10/2013,12/11/2013,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical",01:01:00,01:01:00
