,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
1511,Winter Storm,2004,2/25/2004,2/26/2004,Pacific Gas and Electric  Company,Northern California,WECC,240,"505,000","severe weather, winter storm",00:01:00,10:00:00
1512,Lightning struck Intertie Breaker,2004,2/17/2004,2/17/2004,Crockett Cogeneration,"San Francisco Bay area, California",WECC,220,PG&E,"severe weather, thunderstorm",14:25:00,23:57:00
1513,Public Appeal to Reduce Load,2004,2/14/2004,2/16/2004,National Grid (Niagara Mohawk),"Lake Colby, Lake Placid, Tupper Lake",NPCC,Approx. 30,"18,600",public appeal,20:00:00,
1514,Ice Storm,2004,2/5/2004,2/9/2004,Allegheny Power,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,60,"87,456","severe weather, winter storm",20:00:00,20:00:00
1515,Ice Storm,2004,1/28/2004,1/29/2004,Baltimore Gas & Electric Company,"Harford County, Maryland",MAAC,Approx. 300,"Approx. 70,000","severe weather, winter storm",13:09:00,05:00:00
1516,Ice Storm,2004,1/26/2004,1/27/2004,Southern Company,North and Central area of Georgia,SERC,Less than 150,"30,689","severe weather, winter storm",14:00:00,20:00:00
1517,Ice Storm,2004,1/26/2004,1/28/2004,South Carolina Electric and Gas,Central South Carolina,SERC,500-700,"150,000","severe weather, winter storm",10:00:00,08:00:00
1518,Ice Storm,2004,1/26/2004,1/29/2004,Progress Energy - Carolinas (Carolina Power and Light),Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,475,"9,905","severe weather, winter storm",16:00:00,06:30:00
1519,Public Appeal to Reduce Load,2004,1/14/2004,1/17/2004,National Grid (New York),"Lake Placid/Saranac, New York",NPCC,100,"18,600",public appeal,06:00:00,
1520,Public Appeal to Reduce Load,2004,1/8/2004,1/10/2004,National Grid (New York),"Lake Placid/Saranac, New York",NPCC,100,"18,600",public appeal,15:00:00,19:00:00
1521,Snow Storm,2004,1/7/2004,1/10/2004,Puget Sound Energy,King County,WECC,150,"145,000","severe weather, winter storm",00:00:00,17:00:00
1522,Winter Storm,2004,1/1/2004,1/2/2004,Pacific Gas and Electric Company,Northern California,WECC,170,"263,000","severe weather, winter storm",07:30:00,16:00:00
1523,Winter Storm,2003,12/28/2003,1/1/2004,Pacific Gas and Electric,Northern California,WECC,160,"241,000","severe weather, winter storm",21:00:00,11:30:00
1524,Earthquake,2003,12/22/2003,12/22/2003,Pacific Gas and Electric,Central California Coast,WECC,220,"109,750",earthquake,11:15:00,11:16:00
1525,Cable Failure,2003,12/20/2003,12/21/2003,Pacific Gas and Electric,"San Francisco, California",WECC,150,"120,000",equipment failure,15:51:00,23:45:00
1526,Transmission Equipment,2003,12/5/2003,12/5/2003,Upper Peninsula Power Company,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,14,2,transmission interruption,07:00:00,20:00:00
1527,Transmission Equipment,2003,12/5/2003,12/5/2003,City of Homestead,State of Florida - Dade County,FRCC,27,"16,500",transmission interruption,04:49:00,06:25:00
1528,Fault on 138 KV line,2003,12/4/2003,12/8/2003,Wisconsin Electric Power Company,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,500,"36,000",equipment failure,22:15:00,08:30:00
1529,Fault on 138 KV line,2003,12/4/2003,12/7/2003,"American Transmission Company, LLC",Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,650,6 (utilities),equipment failure,22:34:00,08:30:00
1530,High Winds,2003,12/4/2003,12/8/2003,Puget Sound Energy,Eastern portions of King County and Pierce County,WECC,175,"200,000 (Peak)","severe weather, wind",07:00:00,07:00:00
1531,Wild Fire _ Transmission Equipment,2003,12/1/2003,12/1/2003,REMVEC,Cape Cod and part of SE Massachusetts,NPCC,630,"300,000",,18:16:00,20:11:00
1532,Major Wind Storm,2003,11/13/2003,11/14/2003,Potomac Electric Power Company (Pepco),"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,Est. 400,"104,195 at 5:23 p.m. 11/13/03","severe weather, wind",11:00:00,07:30:00
1533,Storm with High Winds,2003,11/13/2003,11/14/2003,Niagara Mohawk,New York,NPCC,Approx. 180,"50,280","severe weather, wind",07:30:00,06:30:00
1534,High Winds,2003,11/13/2003,11/16/2003,Baltimore Gas and Electric,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,375,"110,000","severe weather, wind",06:00:00,16:00:00
1535,Wind Storm,2003,11/13/2003,11/13/2003,Dominion-Virginia Power/ North Carolina Power,"Northern Virginia, Richmond area, Eastern Virginia",SERC,300,"67,000","severe weather, wind",13:40:00,15:51:00
1536,High Winds,2003,11/12/2003,11/12/2003,Com Ed,Northern Illinois,MAIN,Est. 371.1,"51,000","severe weather, wind",17:00:00,19:00:00
1537,Wind Storm,2003,11/12/2003,11/16/2003,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,"245,000","severe weather, wind",17:00:00,18:00:00
1538,Storm with High Winds,2003,11/12/2003,11/16/2003,DTE Energy,Southeastern Michigan,ECAR,Est. 75,"160,000","severe weather, wind",18:00:00,17:00:00
1539,Tornado,2003,11/5/2003,11/5/2003,PJM Interconnection,Maryland/Virginia border,MAAC,350,1,"severe weather, tornado",15:16:00,15:54:00
1540,Wild Fire,2003,10/26/2003,11/18/2003,San Diego Gas and Electric Company,"San Diego County, California",WECC,,"108,000 (Dist. And Trans. Combined)",wild fire,01:44:00,10:54:00
1541,Hurricane Isabel,2003,9/18/2003,9/28/2003,Potomac Electric Power Company (Pepco),"District of Columbia, Montgomery and Prince George's Counties, Maryland",MAAC,,"Over 530,000 peak on 9/19/03","severe weather, hurricane/tropical storm",16:20:00,18:00:00
1542,Hurricane Isabel,2003,9/18/2003,9/21/2003,PPL Electric Utilities,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,"1,300","425,000","severe weather, hurricane/tropical storm",21:00:00,17:00:00
1543,Hurricane Isabel,2003,9/18/2003,9/19/2003,Duke Energy Company/Duke Power Control Area,Triangle and Tridad (Greensboro _ High Point)  Areas North Carolina - Northern Region,SERC,500-700,"Under 50,000","severe weather, hurricane/tropical storm",15:32:00,17:00:00
1544,Hurricane Isabel,2003,9/18/2003,9/24/2003,Allegheny Power,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,"3,085","237,366","severe weather, hurricane/tropical storm",14:00:00,00:00:00
1545,Hurricane Isabel,2003,9/18/2003,9/18/2003,Carolina Power and Light,Eastern North Carolina,SERC,peak 1655,"peak 320,00 9/18/03 7:00 p.m.","severe weather, hurricane/tropical storm",11:45:00,00:00:00
1546,Hurricane Isabel,2003,9/18/2003,9/26/2003,Baltimore Gas and Electric,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,"2,000","650,000","severe weather, hurricane/tropical storm",12:00:00,22:50:00
1547,Hurricane Isabel,2003,9/18/2003,9/29/2003,Dominion-Virginia Power/ North Carolina Power,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,"6,512",1.8 million,"severe weather, hurricane/tropical storm",08:20:00,22:42:00
1548,Transmission  Equipment,2003,9/7/2003,9/7/2003,"American Transmission Company, LLC",Upper Michigan Peninsula,MAIN,310,4 (industrial),transmission interruption,05:19:00,18:00:00
1549,Severe Thunderstorms,2003,8/26/2003,8/31/2003,Potomac Electric Power Company,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,"1,500","153,000","severe weather, thunderstorm",16:22:00,18:00:00
1550,Severe Thunderstorms,2003,8/26/2003,8/29/2003,Baltimore Gas and Electric,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,625,"93,000 at peak 133,000 cumulative","severe weather, thunderstorm",16:00:00,12:00:00
1551,Unknown *,2003,8/14/2003,8/15/2003,Consolidated Edison Co of  New York,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,"11,202","3,125,350",unknown,16:11:00,21:03:00
1552,Unknown *,2003,8/14/2003,8/16/2003,First Energy Corporation,"Northeast, Ohio",ECAR,"7,000","1,203,000",unknown,16:10:00,20:27:00
1553,Unknown *,2003,8/14/2003,8/16/2003,Detroit Edison,Southeastern Michigan including all of Detroit,ECAR,"11,000","2,100,000",unknown,16:09:00,07:00:00
1554,Unknown *,2003,8/14/2003,8/15/2003,"PJM Interconnection, LLC","Northern New Jersey Erie, Pennsylvania  area",MAAC,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,unknown,16:10:00,06:00:00
1555,Unknown *,2003,8/14/2003,8/17/2003,Midwest Independent System Operator,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,ECAR,"Approx. 18,500 MW, in MISO area: First Energy 7,500, Detroit Edison 9,200, Consumers Energy 1,800",,unknown,15:00:00,17:00:00
1556,Unknown *,2003,8/14/2003,8/16/2003,ISO New England,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,NPCC,"2,500",,unknown,16:10:00,03:45:00
1557,Unknown *,2003,8/14/2003,8/18/2003,New York Independent System Operator,New York State,NPCC,"22,934",unknown,unknown,16:10:00,00:03:00
1558,Unknown *,2003,8/14/2003,8/14/2003,Niagara Mohawk,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,,"840,137",unknown,16:10:00,23:48:00
1559,Unknown *,2003,8/14/2003,8/16/2003,Consumers Power,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,"1,007","101,000",unknown,16:09:00,13:03:00
1560,Breaker Closed,2003,7/28/2003,7/28/2003,Arizona Public Service,Arizona,WECC,440,"90,000",equipment failure,18:55:00,20:35:00
1561,Severe Storms,2003,7/21/2003,7/24/2003,PPL Electric Utilities,Pennsylvania,MAAC,500-1000,"185,000","severe weather, storm",17:15:00,05:33:00
1562,Hurricane Claudette,2003,7/15/2003,7/21/2003,American Electric Power-Texas Central Company,Texas,ERCOT,230-300,"108,000","severe weather, hurricane/tropical storm",08:24:00,10:30:00
1563,Severe Thunderstorms,2003,7/9/2003,7/9/2003,Dominion Virginia/North Carolina Power,Northern Central and Eastern Virginia,SERC,120,"80,000","severe weather, thunderstorm",17:14:00,19:09:00
1564,Severe Thunderstorms,2003,7/8/2003,7/11/2003,American Electric Power,Ohio,ECAR,"11,000","134,500","severe weather, thunderstorm",04:00:00,16:00:00
1565,Severe Thunderstorms,2003,7/7/2003,7/7/2003,Com Ed,Northern Illinois,MAIN,,"72,000","severe weather, thunderstorm",09:00:00,15:00:00
1566,Severe Storms,2003,7/5/2003,7/5/2003,Com Ed,Northern Illinois,MAIN,80,"130,000","severe weather, storm",03:00:00,07:00:00
1567,Severe Storms,2003,7/4/2003,7/6/2003,Cinergy,"Southwest Ohio, portions of Indiana",ECAR,200,"55,142","severe weather, storm",23:41:00,21:00:00
1568,Severe Thunderstorms,2003,7/4/2003,7/6/2003,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,"131,000","severe weather, thunderstorm",09:00:00,16:00:00
1569,Severe Thunderstorms,2003,7/4/2003,7/4/2003,We Energies,Southeast Wisconsin,MAIN,150,"52,000","severe weather, thunderstorm",06:00:00,10:00:00
1570,Unit Tripped,2003,7/2/2003,7/2/2003,Pacific Gas and Electric Company,Northern California,WECC,200,1,generator trip,13:54:00,15:59:00
1571,Breaker Failure,2003,7/1/2003,7/1/2003,Arizona Public Service Company,"Phoenix, Arizona",WECC,"1,000","47,000",equipment failure,15:15:00,15:50:00
1572,Tropical Storm Bill,2003,6/30/2003,6/30/2003,Entergy Corporation,"Coastal areas of Southwest Louisiana, entire New Orleans metropolitan area",SPP,,"179,299","severe weather, hurricane/tropical storm",13:00:00,00:00:00
1573,Public Appeal,2003,6/15/2003,6/16/2003,Idaho Power Company Control Area,Idaho,WECC,0,0,public appeal,15:12:00,17:00:00
1574,Interruption of Firm Power,2003,5/15/2003,5/15/2003,Center Point Energy,North Texas,ERCOT,476,"192,000",load shedding,02:52:00,03:29:00
1575,Flood,2003,5/15/2003,6/16/2003,We Energies,Upper Michigan Peninsula,MAIN,240,2,"severe weather, flooding",14:00:00,14:00:00
1576,Severe Thunderstorms,2003,5/2/2003,5/3/2003,Southern Company,"Central Georgia, Alabama",SERC,130,"102,842 (Georgia); 12,897 (Alabama)","severe weather, thunderstorm",20:00:00,08:00:00
1577,Severe Thunderstorms,2003,5/2/2003,5/4/2003,Duke Energy Company/Duke Power Control Area,"Piedmont, North and South Carolina",SERC,"1,500","139,000","severe weather, thunderstorm",17:00:00,12:00:00
1578,Vandalism,2003,4/28/2003,4/29/2003,American Transmission Company,"County of Waukesha,  Wisconsin,  Town of Lisbon, Wisconsin",MAIN,0,0,vandalism,15:41:00,12:00:00
1579,Relaying Malfunction,2003,4/15/2003,4/15/2003,Bryan Texas Utilities,"Cities of Bryan, College Station and surrounding areas",ERCOT,212,"68,530",equipment failure,11:00:00,14:06:00
1580,Severe Storm,2003,4/4/2003,4/5/2003,Niagara Mohawk Power Corporation,"New York, Upstate New York",NPCC,200-250,"160,000","severe weather, storm",03:11:00,14:00:00
1581,Ice Storm,2003,4/3/2003,4/6/2003,Consumers Energy,Lower Michigan Peninsula,ECAR,300,"425,000","severe weather, winter storm",19:00:00,17:00:00
1582,Winter Ice Storm,2003,2/27/2003,3/1/2003,Duke Energy Corporation,"Piedmont, North Carolina",SERC,"1,000","over 340,000","severe weather, winter storm",11:32:00,08:00:00
1583,Cyber Threat From Internet,2003,1/25/2003,1/26/2003,Cinergy Corporation,"Cincinnati, Ohio",ECAR,,,"vandalism, cyber",14:00:00,02:00:00
1584,Winter Storm,2002,12/25/2002,12/27/2002,Metropolitan Edison Co./First Energy,"Reading, York, Hanover, Hamburg Pennsylvania",MAAC,,"95,630","severe weather, winter storm",10:00:00,08:30:00
1585,Winter Storm,2002,12/25/2002,12/26/2002,PPL Corporation,Eastern Pennsylvania,MAAC,250,"106,000","severe weather, winter storm",17:00:00,05:00:00
1586,Winter Storm,2002,12/19/2002,12/21/2002,Pacific Gas & Electric,Northern and Central California,WECC,56,"385,000","severe weather, winter storm",06:00:00,05:00:00
1587,Winter Storm,2002,12/14/2002,12/19/2002,Pacific Gas & Electric,Northern and Central California,WECC,180,1.5 million,"severe weather, winter storm",11:00:00,04:00:00
1588,Winter Storm,2002,12/11/2002,12/13/2002,Dominion-Virginia Power/North Carolina Power,Northern Virginia to Fredericksburg; Staunton to Harrisonburg,SERC,63,"130,000","severe weather, winter storm",13:09:00,10:00:00
1589,Ice Storm,2002,12/3/2002,12/9/2002,Entergy Corporation,Arkansas,SPP,,"43,000","severe weather, winter storm",18:30:00,10:30:00
1590,Cable Tripped,2002,11/17/2002,Unknown,Long Island Power Authority,"Northport, NY; Norwalk, CT",NPPC,0,0,equipment failure,15:48:00,
1591,Ice Storm,2002,11/17/2002,11/21/2002,Northeast Utilities,Northwest and North Central Connecticut,NPCC,,"224,912","severe weather, winter storm",06:00:00,08:00:00
1592,Winter Storm,2002,11/6/2002,11/10/2002,Pacific Gas & Electric Co.,Northern and Central California,WECC,270,"939,000","severe weather, winter storm",22:00:00,12:00:00
1593,Hurricane Lily,2002,10/3/2002,10/12/2002,Entergy Corporation,Coastal Areas of Southern Louisiana,SPP,,"242,910","severe weather, hurricane/tropical storm",03:33:00,
1594,Severe Weather,2002,8/28/2002,8/28/2002,Lakeworth Utils,Florida,SERC,67.6,"25,000",severe weather,14:09:00,03:38:00
1595,Interruption of Firm Power,2002,8/25/2002,8/25/2002,Pacific Gas & Elec.,California,WECC,120,1 PG&E,load shedding,03:41:00,09:17:00
1596,Interruption of Firm Power,2002,8/9/2002,8/9/2002,Lake Worth Utils,Florida,SERC,51,"25,000",load shedding,08:23:00,12:13:00
1597,Interruption of Firm Power,2002,8/2/2002,8/2/2002,Central Illinois Light Co.,Illinois,MAIN,232,"53,565",load shedding,12:43:00,06:36:00
1598,Fire,2002,7/20/2002,7/20/2002,Consolidated Edison Co. of New York,New York,NPCC,278,"63,500",wild fire,12:40:00,08:12:00
1599,Interruption of Firm Power (Unit Tripped),2002,7/19/2002,7/19/2002,Pacific Gas & Electric,California,WECC,240,1 PG&E,generator trip,11:51:00,04:30:00
1600,Interruption of Firm Power,2002,7/9/2002,7/9/2002,Pacific Gas & Electric,California,WECC,240,1 PG&E,load shedding,12:27:00,07:54:00
1601,Vandalism/Insulators,2002,4/8/2002,3/9/2002,Arizona Public Service,Arizona,WECC,0,0,vandalism,15:00:00,
1602,Severe Weather,2002,3/9/2002,3/11/2002,Consumers Energy Co.,Lower Peninsula of Michigan,ECAR,190,"190,000",severe weather,00:00:00,12:00:00
1603,Interruption of Firm Load,2002,2/27/2002,2/27/2002,San Diego Gas & Electric,California,WECC,300,"255,000",load shedding,10:48:00,11:35:00
1604,Ice Storm,2002,1/30/2002,2/7/2002,Oklahoma Gas & Electric,Oklahoma,SPP,500,"1,881,134","severe weather, winter storm",06:00:00,12:00:00
1605,Ice Storm,2002,1/30/2002,2/10/2002,Missouri Public Service,Missouri,SPP,210,"95,000","severe weather, winter storm",16:00:00,09:00:00
1606,Ice Storm,2002,1/29/2002,,Kansas City Power & Light,Metropolitan Kansas City Area,SPP,500-600,"270,000","severe weather, winter storm",18:00:00,
1607,Voltage Reduction,2001,8/9/2001,8/9/2001,Virginia Electric and Power Co and Dominion Virginia Power Area,Virginia,PJM,0,"600,000",voltage reduction,15:11:00,19:12:00
1608,Feeder Shutdowns,2001,6/25/2001,6/25/2001,Consolidated Edison of New York,"Manhattan, New York",NPCC,,,equipment failure,13:25:00,21:39:00
1609,Flooding,2001,6/8/2001,6/15/2001,Reliant Energy HL&P Service Area,Texas,ERCOT,,"(residential) 36,073","severe weather, flooding",19:00:00,20:00:00
1610,Firm Load Interruption,2001,6/6/2001,6/6/2001,Central Power and Light Company,Rio Grand Valley of Texas,ERCOT,350,"24,506",load shedding,16:22:00,19:09:00
1611,Interruption of Firm Power (Public Appeal),2001,5/8/2001,5/8/2001,CA Independent System Operator,California,WECC,400,Undetermined,"load shedding, public appeal",15:10:00,17:30:00
1612,Interruption of Power,2001,5/8/2001,5/8/2001,Southern California Edison,California,WECC,"225, 159","70,848; 56718",unknown,15:12:00,17:00:00
1613,Interruption of Firm Power (Public Appeal),2001,5/7/2001,5/7/2001,CA Independent System Operator,California,WECC,300,Undetermined,"load shedding, public appeal",16:45:00,18:00:00
